ticker,first_date,last_date,rows,days_in_position,position_changes,total_cost,total_return_market,total_return_strategy_gross,total_return_strategy_net,market_perf_pct,strategy_gross_perf_pct,strategy_net_perf_pct,alpha_net_pct,max_drawdown_market_pct,max_drawdown_strategy_gross_pct,max_drawdown_strategy_net_pct,closed_trades,avg_trade_return_pct,win_rate_pct,avg_entry_vix,avg_exit_vix,avg_holding_days,profit_factor,avg_win_pct,avg_loss_pct,max_consecutive_losses,num_stop_loss,num_take_profit,num_trailing_stop,num_vix_exit,num_end_of_data,pct_stop_loss,pct_take_profit,pct_trailing_stop,pct_vix_exit,pct_end_of_data
ERG.MI,2015-01-02,2026-04-08,2862,1631.0,210.0,0.315,4.063465209564477,1.529865432279588,1.1159081677422922,306.34652095644765,52.98654322795879,11.590816774229218,-294.75570418221844,-50.969479445993905,-43.89300759546798,-51.820643916347954,105,0.31410049053635997,38.095238095238095,22.858285714285717,24.538857142857143,22.39047619047619,1.1556940130784474,6.12024591861991,-3.258912080591977,11,28,0,9,68,0,26.666666666666668,0.0,8.571428571428571,64.76190476190476,0.0
FBK.MI,2015-01-02,2026-04-08,2862,1810.0,204.0,0.306,6.244030721233724,2.9223585157285563,2.1523536708243047,524.4030721233723,192.23585157285564,115.23536708243047,-409.1677050409419,-42.826451892950445,-41.18102453429214,-45.86334407428752,102,1.0245961934458045,49.01960784313725,21.083627450980394,22.896274509803924,25.686274509803923,1.4600028763571178,6.634009201897145,-4.3690701608343305,6,30,0,20,52,0,29.411764705882355,0.0,19.607843137254903,50.98039215686274,0.0
G.MI,2015-01-02,2026-04-08,2862,2051.0,178.0,0.267,3.87615815021746,1.650120692437421,1.2635865021291453,287.615815021746,65.0120692437421,26.358650212914526,-261.2571648088315,-46.74358914082535,-52.42252349657811,-54.30927511635949,89,0.43294585191186324,43.82022471910113,21.231573033707864,23.84853932584269,33.28089887640449,1.2271883220860051,5.336840119429209,-3.392091676751668,14,22,0,12,55,0,24.719101123595504,0.0,13.48314606741573,61.79775280898876,0.0
HER.MI,2015-01-02,2026-04-08,2862,1888.0,170.0,0.255,3.1911729264096964,1.9941576988656948,1.5450641873400157,219.11729264096965,99.41576988656948,54.50641873400157,-164.6108739069681,-50.14797706571703,-33.71453990406459,-37.910131059567064,85,0.6797912310386445,47.05882352941176,22.118470588235294,24.628470588235295,31.929411764705883,1.4155780855112396,4.920573067319133,-3.0897926234329,5,16,0,12,57,0,18.823529411764707,0.0,14.117647058823529,67.05882352941175,0.0
IG.MI,2016-11-07,2026-04-08,2390,1622.0,154.0,0.231,4.005816570798313,2.6738228892300313,2.1225228827654212,300.5816570798313,167.38228892300313,112.25228827654212,-188.32936880328919,-34.66794613887287,-32.63097665721504,-39.55063331614754,77,1.1686352540860725,49.35064935064935,22.624025974025972,24.9887012987013,30.181818181818183,1.8136977591071737,5.278225110797119,-2.8355805037349473,7,13,0,10,54,0,16.883116883116884,0.0,12.987012987012985,70.12987012987013,0.0
INW.MI,2015-06-22,2026-04-08,2744,1674.0,150.0,0.225,2.7038661219059774,2.317764037908877,1.850574062767372,170.38661219059773,131.77640379088768,85.0574062767372,-85.32920591386053,-42.06408156640033,-22.39077260273673,-28.83804392560232,75,1.004691341439225,48.0,22.340266666666665,24.2788,32.13333333333333,1.6749178248211796,5.194383715855559,-2.8627170041758534,5,14,0,10,51,0,18.666666666666668,0.0,13.333333333333334,68.0,0.0
ISP.MI,2015-01-02,2026-04-08,2862,1825.0,174.0,0.261,4.8000626303737315,2.7327634435112595,2.1048328009706547,380.0062630373732,173.27634435112594,110.48328009706547,-269.5229829403077,-54.12080014117804,-47.96367190864527,-52.18151899027503,87,1.2296808306241758,50.57471264367817,20.335632183908043,22.313563218390808,30.195402298850574,1.5431198164714761,6.908169398468374,-4.580865610890818,6,26,0,17,44,0,29.88505747126437,0.0,19.54022988505747,50.57471264367817,0.0
LDO.MI,2015-01-02,2026-04-08,2862,1755.0,224.0,0.336,8.341355193154833,2.819244408978051,2.014269640597038,734.1355193154833,181.92444089780508,101.42696405970382,-632.7085552557795,-73.16257391407443,-53.49070625539891,-61.61798454972883,112,1.1078285740915257,38.392857142857146,19.405624999999997,21.11919642857143,22.705357142857142,1.3932328004397645,10.223417199850662,-4.572900569497504,12,46,0,26,40,0,41.07142857142857,0.0,23.214285714285715,35.714285714285715,0.0
MB.MI,2015-01-02,2026-04-08,2862,1905.0,220.0,0.33,4.564758320399295,1.9011615232860073,1.3661415391023337,356.4758320399295,90.11615232860073,36.61415391023337,-319.86167812969614,-60.194146576826604,-40.99160305065398,-42.765194834510986,110,0.5300354067340387,45.45454545454545,21.244727272727268,22.945000000000004,24.836363636363636,1.24663156615001,5.894093505378037,-3.9400130088026253,6,31,0,17,62,0,28.18181818181818,0.0,15.454545454545453,56.36363636363636,0.0
MONC.MI,2015-01-02,2026-04-08,2862,1737.0,229.0,0.3435,5.592275640550629,3.6413808465110766,2.5846091613008912,459.22756405506294,264.13808465110765,158.46091613008912,-300.7666479249738,-45.795067787612595,-30.609709710956214,-31.8485089154537,115,1.1108724121015585,48.69565217391305,22.20382608695652,23.381478260869567,21.791304347826088,1.5897605556767687,6.1493610023838485,-3.6714218430816308,5,29,0,21,64,1,25.217391304347824,0.0,18.26086956521739,55.65217391304348,0.8695652173913043
