ticker,trade_num,entry_date,entry_price,entry_vix,exit_date,exit_price,exit_vix,exit_reason,holding_days,gross_return_pct,net_return_pct
SRG.MI,57,2021-12-07,4.004120826721191,21.89,2022-01-20,3.973093271255493,25.59,vix_exit,44,-0.7748905891809765,-1.0748905891809764
SRG.MI,58,2022-03-22,3.893561124801636,22.94,2022-04-22,4.118494033813477,28.21,vix_exit,31,5.777048357582926,5.477048357582925
SRG.MI,59,2022-05-04,4.131166934967041,25.42,2022-05-05,4.135918617248535,31.2,vix_exit,1,0.11502034065180577,-0.18497965934819424
SRG.MI,60,2022-05-06,4.140670776367188,30.19,2022-05-09,4.047212600708008,34.75,vix_exit,3,-2.257078157302228,-2.557078157302228
SRG.MI,61,2022-05-13,4.143838882446289,28.87,2022-05-16,4.265809535980225,27.47,vix_exit,3,2.9434217158059717,2.643421715805972
SRG.MI,62,2022-05-27,4.337091445922852,25.72,2022-05-30,4.316498756408691,26.54,vix_exit,3,-0.47480413477374306,-0.7748041347737431
SRG.MI,63,2022-05-31,4.284818649291992,26.19,2022-06-01,4.27372932434082,25.69,vix_exit,1,-0.25880500107056115,-0.5588050010705612
SRG.MI,64,2022-06-02,4.254721641540527,24.72,2022-06-06,4.268977642059326,25.07,vix_exit,4,0.3350630598159876,0.035063059815987604
SRG.MI,65,2022-06-07,4.262641906738281,24.02,2022-06-09,4.192944049835205,26.09,vix_exit,2,-1.6350859027801423,-1.9350859027801421
SRG.MI,66,2022-08-24,4.184467792510986,22.82,2022-08-26,4.09293270111084,25.56,vix_exit,2,-2.1874966169883825,-2.4874966169883823
SRG.MI,67,2022-11-11,3.8142402172088623,22.52,2022-12-12,3.996493816375733,25.0,vix_exit,31,4.778241243028947,4.478241243028947
SRG.MI,68,2022-12-13,3.983417510986328,22.55,2022-12-16,3.81097149848938,22.62,stop_loss,3,-4.329097113755697,-4.629097113755698
SRG.MI,69,2022-12-19,3.813422679901123,22.42,2023-03-13,3.867809295654297,26.52,vix_exit,84,1.42618902540812,1.1261890254081202
SRG.MI,70,2023-04-03,4.099409580230713,18.55,2023-08-07,3.930354356765747,15.77,stop_loss,126,-4.123891993623419,-4.423891993623419
SRG.MI,71,2023-08-29,4.087672710418701,14.45,2023-09-26,3.899236679077149,18.94,stop_loss,28,-4.609861030734297,-4.909861030734297
SRG.MI,72,2023-11-17,3.8879997730255127,13.8,2024-04-11,3.716372013092041,14.91,stop_loss,146,-4.414294494670623,-4.714294494670623
SRG.MI,73,2024-05-07,3.871331691741944,13.23,2024-08-05,3.959850311279297,38.57,vix_exit,90,2.2865160256398287,1.9865160256398289
